Q - Actual economic growth,A - An increase in real GDP
Q - Potential economic growth,A - An increase in capacity in the economy
Q - Effect of export led growth,A - Prevents a bad balance of payments and can lead to more investment
Q - Actual growth rate,A - Actual change in real GDP over time
Q - Long run trend growth rate,A - Average sustained rate of growth over a period of time
Q - Output gap,A - Difference between actual and potential GDP
Q - Positive output gap,A - Actual GDP is greater than potential GDP
Q - Negative output gap,A - Actual GDP is below than potential GDP
Q - Positive output gap graph,Images/Economics/graphs_2/positive_gap.gif
Q - Negative output gap graph,Images/Economics/graphs_2/negative_gap.gif
Q - 4 parts of trade cycle,"A - Boom, recession, slump and recovery"
Q - Characteristics of boom,Images/Economics/graphs_2/boom.gif
Q - Characteristics of recession,Images/Economics/graphs_2/recession.gif
Q - Impact of economic growth on consumers,Images/Economics/graphs_2/growth_consumer.gif
Q - Impact of economic growth on firms,Images/Economics/graphs_2/growth_firms.gif
Q - Impact of economic growth on government,Images/Economics/graphs_2/growth_goverment.gif
Q - Impact of economic growth on living standards,Images/Economics/graphs_2/growth_living.gif
Q - 7 macroeconomic objectives,Images/Economics/graphs_2/objectives.gif
Q - Demand-side policies,A - Designed to manipulate AD
Q - Monetary policy,"A - Control AD through interest rates, set by MPC"
Q - Fiscal policy,A - Influence AD through taxation and government spending
Q - Effect of interest rates on AD,A - Interest rates increase = less consumption and investment
Q - Quantitive easing,A - The purchasing of gilts to stimulate spending and investment in the economy
Q - Fiscal deficit,A - Government spending is higher than tax revenue
Q - Fiscal surplus,A - Tax revenue exceeds government spending
Q - Direct tax,A - Imposed on income
Q - Indirect tax,A - Imposed on expenditures
Q - Supply side policies,A - Aim to increase LRAS
Q - Market based policies,A - Allows the free market to eliminate inbalances
Q - Interventionist policies,A - Government intervening in market
Q - Conflicts between growth and inflation,A - Growth causes prices to rise. (depends on position on LRAS)
Q - Conflicts between growth and current account,A - Growth leads to more imports (unless export led)
Q - Conflicts between growth and enviroment,A - More output = more polution (fossil fuels)
Q - Conflicts between unemplyment and inflation,A - Short run phillips curve
Q - Short run phillips curve,Images/Economics/graphs_2/phillips.gif
The end,
